paper_id,author_position,author_id,author_name,role_name,year,title,type,core_rank
343872,5,6162,Iadh Ounis,Professor of Information Retrieval,2024,FinPersona: An LLM-Driven Conversational Agent for Personalized Financial Advising,conference_proceedings,B
343871,1,6162,Iadh Ounis,Professor of Information Retrieval,2024,A Multi-Modal Recipe for Improved Multi-Domain Recommendation,conference_proceedings,
343699,1,60888,Sean MacAvaney,Lecturer in Machine Learning,2024,Guiding Retrieval using LLM-based Listwise Rankers,conference_proceedings,
343698,3,60888,Sean MacAvaney,Lecturer in Machine Learning,2024,MechIR: A Mechanistic Interpretability Framework for Information Retrieval,conference_proceedings,A*
343695,1,60888,Sean MacAvaney,Lecturer in Machine Learning,2024,Exploring the Effectiveness of Multi-stage Fine-tuning for Cross-encoder Re-rankers,conference_proceedings,
343693,3,60888,Sean MacAvaney,Lecturer in Machine Learning,2024,MURR: Model Updating with Regularized Replay for Searching a Document Stream,conference_proceedings,
343648,0,1503,Alice Miller,Professor,2024,Implementing the MOLS table for n up to 500,article,
343648,2,48338,Ivaylo Valkov,Lecturer,2024,Implementing the MOLS table for n up to 500,article,
343360,1,28436,Jessica Enright,Reader,2024,Temporal Triadic Closure: Finding Dense Substructures in Social Networks That Evolve Over Time,conference_proceedings,
343360,3,33044,Kitty Meeks,Reader,2024,Temporal Triadic Closure: Finding Dense Substructures in Social Networks That Evolve Over Time,conference_proceedings,
343465,1,49593,Chee Kiat Seow,Associate Professor,2024,SketchBoard: Sketch-Guided Storyboard Generation for Game Characters in the Game Industry,conference_proceedings,
343465,5,51762,Qi Cao,Associate Professor,2024,SketchBoard: Sketch-Guided Storyboard Generation for Game Characters in the Game Industry,conference_proceedings,
342383,2,64858,Tanaya Guha,Senior Lecturer,2024,NAPE: Numbering as a Position Encoding in graphs,article,
343068,2,65563,Paul Henderson,Lecturer in Machine Learning,2024,"ARTeFACT: Benchmarking Segmentation Models on Diverse Analogue Media
Damage",conference_proceedings,A
343068,3,8165,John Williamson,Senior Lecturer,2024,"ARTeFACT: Benchmarking Segmentation Models on Diverse Analogue Media
Damage",conference_proceedings,A
342750,1,30896,Christos Anagnostopoulos,Reader,2024,Thompson sampling-based recursive block elimination for dynamic assignment under limited budget in pure-exploration,article,
342485,1,10215,Quintin Cutts,Professor of Computer Science Education,2024,Towards a Theory of Humanistic Computing and How to Teach It,conference_proceedings,
342717,2,61133,Ilyena Hirskyj-Douglas,Lecturer,2024,Empowering Animals Through Technology: Enhancing Animal Agency in the Sound Environment,conference_proceedings,
341110,2,2912,Alessandro Vinciarelli,Professor of Computational Social Intelligence,2024,On the effects of obfuscating speaker attributes in privacy-aware depression detection,article,
341110,3,64858,Tanaya Guha,Senior Lecturer,2024,On the effects of obfuscating speaker attributes in privacy-aware depression detection,article,
339848,1,78020,Shahid Raza,Professor in Cybersecurity,2024,Cyber threat intelligence meets the analytic tradecraft,article,
342244,0,9704,Matthew Barr,Senior Lecturer,2024,The design and delivery of work-based degree programmes: challenges and solutions,book_section,
341008,4,64858,Tanaya Guha,Senior Lecturer,2024,Is Distance a Modality? Multi-Label Learning for Speech-Based Joint Prediction of Attributed Traits and Perceived Distances in 3D Audio Immersive Environments,conference_proceedings,
341008,5,2912,Alessandro Vinciarelli,Professor of Computational Social Intelligence,2024,Is Distance a Modality? Multi-Label Learning for Speech-Based Joint Prediction of Attributed Traits and Perceived Distances in 3D Audio Immersive Environments,conference_proceedings,
341014,1,38674,Mark McGill,Senior Lecturer,2024,Exploring the Alteration and Masking of Everyday Noise Sounds using Auditory Augmented Reality,conference_proceedings,
341005,1,2912,Alessandro Vinciarelli,Professor of Computational Social Intelligence,2024,Emotion Recognition for Multimodal Recognition of Attachment in School-Age Children,conference_proceedings,
342159,1,3976,David Manlove,Professor of Algorithms and Complexity,2024,MATWA: A Web Toolkit for Matching under Preference,conference_proceedings,
342039,4,65868,Nguyen Truong,Lecturer in Cybersecurity,2024,Modelling GDPR-compliance Based on Defeasible Logic Reasoning: Insights from Time Complexity Perspective,conference_proceedings,
341921,0,28436,Jessica Enright,Reader,2024,Reachability in Temporal Graphs under Perturbation,conference_proceedings,A*
341921,2,33044,Kitty Meeks,Reader,2024,Reachability in Temporal Graphs under Perturbation,conference_proceedings,A*
341859,3,65394,Awais Aziz Shah,Lecturer,2025,Programmable data planes for increased digital resilience in OT networks,article,
341859,4,5079,Dimitrios Pezaros,Professor of Computer Networks and RAEng Research Chair,2025,Programmable data planes for increased digital resilience in OT networks,article,
341195,2,61177,Yehia Elkhatib,Reader,2024,TRANSITIVE: opTimising netwoRk trAnsfer aNd planS In mulTI-cloud enVironmEnts,conference_proceedings,A
341142,1,61133,Ilyena Hirskyj-Douglas,Lecturer,2024,Surveying The Extent of Demographic Reporting of Animal Participants in ACI Research,conference_proceedings,
340807,1,16088,Julie Williamson,Senior Lecturer,2024,"VR Headsets In-The-Wild: Qualitative Insights on Safety, Awareness, and Social Challenges from Real Train Journeys",conference_proceedings,
340807,2,11463,Stephen Brewster,Professor of Human-Computer Interactions,2024,"VR Headsets In-The-Wild: Qualitative Insights on Safety, Awareness, and Social Challenges from Real Train Journeys",conference_proceedings,
340718,0,61133,Ilyena Hirskyj-Douglas,Lecturer,2024,Prototyping an Immersive Screen Interfaces for Dogs’ to Control Screens in Their Home,conference_proceedings,
339959,3,38674,Mark McGill,Senior Lecturer,2024,Is video gaming a cure for cybersickness? Gamers experience less cybersickness than non-gamers in a VR self-motion task,article,
339959,5,11463,Stephen Brewster,Professor of Human-Computer Interactions,2024,Is video gaming a cure for cybersickness? Gamers experience less cybersickness than non-gamers in a VR self-motion task,article,
340390,3,64762,Fahim Kawsar,Professor of Mobile Systems,2024,Energy Characterization of Tiny AI Accelerator-Equipped Microcontrollers,conference_proceedings,
340662,1,65563,Paul Henderson,Lecturer in Machine Learning,2024,Learning Semi-Supervised Medical Image Segmentation from Spatial Registration,conference_proceedings,
340662,4,54575,Fani Deligianni,Senior Lecturer,2024,Learning Semi-Supervised Medical Image Segmentation from Spatial Registration,conference_proceedings,
340661,3,65563,Paul Henderson,Lecturer in Machine Learning,2024,Differentially Private Integrated Decision Gradients (IDG-DP) for Radar-based Human Activity Recognition,conference_proceedings,B
340661,4,54575,Fani Deligianni,Senior Lecturer,2024,Differentially Private Integrated Decision Gradients (IDG-DP) for Radar-based Human Activity Recognition,conference_proceedings,B
340497,0,48468,Mohamed Khamis,Reader,2024,Perspectives on DeepFakes for Privacy: Comparing Perceptions of Photo Owners and Obfuscated Individuals towards DeepFake Versus Traditional Privacy-Enhancing Obfuscation,conference_proceedings,B
340183,1,30896,Christos Anagnostopoulos,Reader,2024,LIFE: Leader-driven Hierarchical & Inclusive Federated Learning,conference_proceedings,
340183,3,61566,Kevin Bryson,Senior Lecturer,2024,LIFE: Leader-driven Hierarchical & Inclusive Federated Learning,conference_proceedings,
340125,1,60888,Sean MacAvaney,Lecturer in Machine Learning,2025,QUAM: Adaptive Retrieval through Query Affinity Modelling,conference_proceedings,
337170,4,30579,Sye Loong Keoh,Associate Professor,2024,"Federated learning for intelligent transportation systems: use cases, open challenges, and opportunities",article,
339862,1,30896,Christos Anagnostopoulos,Reader,2024,Task-aware data selectivity in pervasive edge computing environments,article,
339786,7,72794,Yutian Tang,Lecturer in Software Engineering,2024,Unearthing gas-wasting code smells in smart contracts with large language models,article,
339281,1,64858,Tanaya Guha,Senior Lecturer,2024,Detecting in-car VR Motion Sickness from Lower Face Action Units,conference_proceedings,C
339281,8,38674,Mark McGill,Senior Lecturer,2024,Detecting in-car VR Motion Sickness from Lower Face Action Units,conference_proceedings,C
339281,9,,Stephen Brewster,Professor of Human-Computer Interactions,2024,Detecting in-car VR Motion Sickness from Lower Face Action Units,conference_proceedings,C
339278,1,65394,Awais Aziz Shah,Lecturer,2024,Federated Learning with Sharpness-aware Minimisation for Intrusion Detection in Smart Grids,conference_proceedings,
339278,2,5079,Dimitrios Pezaros,Professor of Computer Networks and RAEng Research Chair,2024,Federated Learning with Sharpness-aware Minimisation for Intrusion Detection in Smart Grids,conference_proceedings,
336600,1,28939,Euan Freeman,Lecturer,2024,Prototyping and evaluation of emotionally resonant vibrotactile comfort objects as a calming social anxiety intervention,article,
336600,3,11463,Stephen Brewster,Professor of Human-Computer Interactions,2024,Prototyping and evaluation of emotionally resonant vibrotactile comfort objects as a calming social anxiety intervention,article,
334127,1,15034,Jeremy Singer,Reader in Programming Language Implementation,2024,Online Coding Tutorial Systems: A New Category of Programming Learning Platforms,conference_proceedings,B
334127,2,48626,Mireilla Bikanga Ada,Lecturer,2024,Online Coding Tutorial Systems: A New Category of Programming Learning Platforms,conference_proceedings,B
338229,2,30896,Christos Anagnostopoulos,Reader,2024,Sequential Block Elimination for Dynamic Pricing,conference_proceedings,
329873,1,64762,Fahim Kawsar,Professor of Mobile Systems,2024,The first step is the hardest: pitfalls of representing and tokenizing temporal data for large language models.,article,B
338006,1,28436,Jessica Enright,Reader,2024,The Firefighter Game with State-varying Cost Functions,conference_proceedings,C
330499,0,48626,Mireilla Bikanga Ada,Lecturer,2024,It helps with crap lecturers and their low effort: investigating computer science students’ perceptions of using ChatGPT for learning,article,B
337331,2,61424,Debasis Ganguly,Lecturer in Data Science,2024,Few-shot Pairwise Ranking Prompting: An Effective Non-Parametric Retrieval Model,conference_proceedings,A
337530,1,55441,Nicolas Pugeault,Reader,2024,Enhancing Robustness in Deep Reinforcement Learning: A Lyapunov Exponent Approach,conference_proceedings,B
337329,4,38674,Mark McGill,Senior Lecturer,2024,Exploring User Placement for VR Remote Collaboration in a Constrained Passenger Space,conference_proceedings,
337329,6,11463,Stephen Brewster,Professor of Human-Computer Interactions,2024,Exploring User Placement for VR Remote Collaboration in a Constrained Passenger Space,conference_proceedings,
337330,0,61424,Debasis Ganguly,Lecturer in Data Science,2024,Chronological Evaluation of Emerging Methodology Extraction from AI Literature,conference_proceedings,A
337319,1,38674,Mark McGill,Senior Lecturer,2024,"A Critical Review of Virtual and Extended Reality Immersive Police Training: Application Areas, Benefits & Vulnerabilities",conference_proceedings,
335776,0,6857,Joseph Maguire,Senior Lecturer,2024,Developing Assessment Literacy through Active Learning,conference_proceedings,
335774,0,6857,Joseph Maguire,Senior Lecturer,2024,"Work in Progress Workshop: Themes, Challenges and Opportunities",conference_proceedings,
335773,1,6857,Joseph Maguire,Senior Lecturer,2024,Principles for inclusive assessment design in cyber security education,book_section,
336862,1,30896,Christos Anagnostopoulos,Reader,2024,Semi-Supervised Federated Learning over Relevant Heterogeneous Data,conference_proceedings,A*
336855,2,60888,Sean MacAvaney,Lecturer in Machine Learning,2024,DyVo: Dynamic Vocabularies for Learned Sparse Retrieval with Entities,conference_proceedings,
336630,2,48568,Mathieu Chollet,Lecturer in Healthcare Technologies,2024,How to Categorize Collaboration During a Collaborative Puzzle-solving Task? Validation of Collaboration Profiles Using Multimodal Data in Virtual Reality Context,conference_proceedings,
336617,1,50574,Zaiqiao Meng,Lecturer,2024,Can We Instruct LLMs to Compensate for Position Bias?,conference_proceedings,
336610,1,50574,Zaiqiao Meng,Lecturer,2024,TRACE the Evidence: Constructing Knowledge-Grounded Reasoning Chains for Retrieval-Augmented Generation,conference_proceedings,C
336610,2,3545,Craig Macdonald,Professor of Information Retrieval,2024,TRACE the Evidence: Constructing Knowledge-Grounded Reasoning Chains for Retrieval-Augmented Generation,conference_proceedings,C
334639,0,54284,Chaitanya Kaul,Lecturer in Artificial Intelligence / Machine Learning,2024,AI-enabled sensor fusion of time-of-flight imaging and mmWave for concealed metal detection,article,A
334639,7,11535,Roderick Murray-Smith,Professor,2024,AI-enabled sensor fusion of time-of-flight imaging and mmWave for concealed metal detection,article,A
336285,1,65394,Awais Aziz Shah,Lecturer,2024,In-Network Real-Time Flow Classification Using Hierarchical Decision Trees,conference_proceedings,A
334606,0,65091,Simone Stumpf,Professor of Responsible and Interactive Artificial Intelligence,2024,The Need for User-centred Assessment of AI Fairness and Correctness,conference_proceedings,
334723,4,65868,Nguyen Truong,Lecturer in Cybersecurity,2024,"A survey on Ethereum pseudonymity: Techniques, challenges, and future directions",article,
335142,5,11535,Roderick Murray-Smith,Professor,2024,SIM2VR: Towards Automated Biomechanical Testing in VR,conference_proceedings,
332931,3,11069,Oana Andrei,Lecturer,2024,Alk: a formal-methods-based educational platform for enhancing algorithmic thinking,article,
334775,1,30896,Christos Anagnostopoulos,Reader,2024,Node and relevant data selection in distributed predictive analytics: a query-centric approach,article,
334747,2,11535,Roderick Murray-Smith,Professor,2024,Towards Interaction Design with Active Inference: A Case Study on Noisy Ordinal Selection,conference_proceedings,
334450,1,38674,Mark McGill,Senior Lecturer,2024,Acceleration instead of Speed: Acceleration Visual Cues in VR for Reduced Motion Sickness in Linear Motion,conference_proceedings,
328607,1,64762,Fahim Kawsar,Professor of Mobile Systems,2024,Thermal Characterization of AI Applications on AI Accelerators-equipped Microcontrollers,conference_proceedings,
327807,7,49593,Chee Kiat Seow,Associate Professor,2024,Drone Navigation System for Autonomous Mosquito Sampling in Tree Canopies,conference_proceedings,
333739,3,3545,Craig Macdonald,Professor of Information Retrieval,2024,Enhancing Sequential Music Recommendation with Personalized Popularity Awareness,conference_proceedings,A
333690,1,38674,Mark McGill,Senior Lecturer,2024,Augmenting Virtual Spatial UIs with Physics- and Direction-Based Visual Motion Cues to Non-Disruptively Mitigate Motion Sickness,conference_proceedings,A
333084,2,66347,Lauritz Thamsen,Lecturer in Computer Systems,2024,KS+: Predicting Workflow Task Memory Usage Over Time,conference_proceedings,
333081,2,5079,Dimitrios Pezaros,Professor of Computer Networks and RAEng Research Chair,2024,"The Good, the Bad and the Ugly: Investigating the Effectiveness of Graph Deep Neural Networks for Anomaly Detection in Industrial Control Systems",conference_proceedings,
333003,1,61741,Jake Lever,Lecturer in Natural Language Processing / Information Retrieval,2024,"UoG Siephers at ""Discharge Me!"": Exploring Ways to Generate Synthetic Patient Notes From Multi-Part Electronic Health Records",conference_proceedings,
333003,2,29045,Graham McDonald,Senior Lecturer,2024,"UoG Siephers at ""Discharge Me!"": Exploring Ways to Generate Synthetic Patient Notes From Multi-Part Electronic Health Records",conference_proceedings,
331408,1,3545,Craig Macdonald,Professor of Information Retrieval,2024,gSASRec: Reducing Overconfidence in Sequential Recommendation Trained with Negative Sampling (Extended Abstract),conference_proceedings,
332550,2,3976,David Manlove,Professor of Algorithms and Complexity,2024,Designing a kidney exchange program in Germany: simulations and recommendations,article,
332680,2,65563,Paul Henderson,Lecturer in Machine Learning,2024,State-of-the-Art Fails in the Art of Damage Detection,conference_proceedings,
332680,3,8165,John Williamson,Senior Lecturer,2024,State-of-the-Art Fails in the Art of Damage Detection,conference_proceedings,
332337,2,61177,Yehia Elkhatib,Reader,2024,PricingTheCloud: A Pricing Estimator for an Informed Cloud-Migration Process,conference_proceedings,A
332446,1,48626,Mireilla Bikanga Ada,Lecturer,2024,Applying Machine Learning Techniques on Self-Reported Engagement and Student Log Data to Predict CS Learning Performance,conference_proceedings,A*
332446,2,2043,Alistair Morrison,Lecturer,2024,Applying Machine Learning Techniques on Self-Reported Engagement and Student Log Data to Predict CS Learning Performance,conference_proceedings,A*
326375,3,,Simone Stumpf,Professor of Responsible and Interactive Artificial Intelligence,2024,Implications of Regulations on the Use of AI and Generative AI for Human-Centered Responsible Artificial Intelligence,conference_proceedings,A*
331792,2,54575,Fani Deligianni,Senior Lecturer,2024,ML-Driven Cognitive Workload Estimation in a VR-based Sustained Attention Task,conference_proceedings,A
331527,1,33741,Mary Ellen Foster,Senior Lecturer in Human-Robot Interaction,2024,Human-Centered Design of Social Robots: Addressing Stakeholder Involvement to Enhance Long-Term Interaction Success,conference_proceedings,B
331527,2,71860,Peggy Gregory,Senior Lecturer in Software Engineering,2024,Human-Centered Design of Social Robots: Addressing Stakeholder Involvement to Enhance Long-Term Interaction Success,conference_proceedings,B
331511,1,3545,Craig Macdonald,Professor of Information Retrieval,2024,Efficient Inference of Sub-Item Id-based Sequential Recommendation Models with Millions of Items,conference_proceedings,
331506,4,38674,Mark McGill,Senior Lecturer,2024,From Redirected Navigation to Forced Attention: Uncovering Manipulative and Deceptive Designs in Augmented Reality through Retail Shopping,conference_proceedings,
331506,5,48468,Mohamed Khamis,Reader,2024,From Redirected Navigation to Forced Attention: Uncovering Manipulative and Deceptive Designs in Augmented Reality through Retail Shopping,conference_proceedings,
331503,1,48468,Mohamed Khamis,Reader,2024,Don’t Record My Private pARts: Understanding The Role of Sensitive Contexts and Privacy Perceptions in Influencing Attitudes Towards Everyday Augmented Reality Sensor Usage,conference_proceedings,B
331503,2,38674,Mark McGill,Senior Lecturer,2024,Don’t Record My Private pARts: Understanding The Role of Sensitive Contexts and Privacy Perceptions in Influencing Attitudes Towards Everyday Augmented Reality Sensor Usage,conference_proceedings,B
331314,7,66347,Lauritz Thamsen,Lecturer in Computer Systems,2024,Ponder: Online Prediction of Task Memory Requirements for Scientific Workflows,conference_proceedings,
330881,1,6162,Iadh Ounis,Professor of Information Retrieval,2024,A Unified Graph Transformer for Overcoming Isolations in Multi-modal Recommendation,conference_proceedings,A
330880,2,6162,Iadh Ounis,Professor of Information Retrieval,2024,Knowledge-Enhanced Multi-Behaviour Contrastive Learning for Effective Recommendation,conference_proceedings,
330111,3,66713,Paul Harvey,Lecturer in Low Carbon and Sustainable Computing,2024,Editorial: Understanding and engineering cyber-physical collectives,article,
330812,1,30896,Christos Anagnostopoulos,Reader,2024,CL-FML: Cluster-based & Label-aware Federated Meta-Learning for On-Demand Classification Tasks,conference_proceedings,
330812,3,54575,Fani Deligianni,Senior Lecturer,2024,CL-FML: Cluster-based & Label-aware Federated Meta-Learning for On-Demand Classification Tasks,conference_proceedings,
330695,3,55441,Nicolas Pugeault,Reader,2024,Detail-Enhanced Intra- and Inter-modal Interaction for Audio-Visual Emotion Recognition,conference_proceedings,
330695,4,65563,Paul Henderson,Lecturer in Machine Learning,2024,Detail-Enhanced Intra- and Inter-modal Interaction for Audio-Visual Emotion Recognition,conference_proceedings,
330691,1,76144,Nikela Papadopoulou,Lecturer in Low Carbon and Sustainable Computing,2024,Uncut-GEMMs : Communication-aware Matrix Multiplication on Multi-GPU Nodes,conference_proceedings,
330688,1,76144,Nikela Papadopoulou,Lecturer in Low Carbon and Sustainable Computing,2024,Co-Design of Convolutional Algorithms and Long Vector RISC-V Processors for Efficient CNN Model Serving,conference_proceedings,
325810,1,65393,Xianghua Ding,Senior Lecturer in Healthcare Technologies,2024,"PACMHCI V8, CSCW1, April 2024 editorial",article,
330515,1,54575,Fani Deligianni,Senior Lecturer,2024,Knowledge Distillation with Global Filters for Efficient Human Pose Estimation,conference_proceedings,
330442,5,2912,Alessandro Vinciarelli,Professor of Computational Social Intelligence,2024,Exploring 3D Human Pose Estimation and Forecasting from the Robot’s Perspective: The HARPER Dataset,conference_proceedings,B
330442,6,51234,Emma Li,Senior Lecturer,2024,Exploring 3D Human Pose Estimation and Forecasting from the Robot’s Perspective: The HARPER Dataset,conference_proceedings,B
330428,4,50574,Zaiqiao Meng,Lecturer,2024,CLCE: An Approach to Refining Cross-Entropy and Contrastive Learning for Optimized Learning Fusion,conference_proceedings,B
330214,3,51762,Qi Cao,Associate Professor,2024,A Method for Out-of-Distribution Detection in Encrypted Mobile Traffic Classification,conference_proceedings,
330351,1,29034,Blair Archibald,Lecturer,2024,Modelling and analysing routing protocols diagrammatically with bigraphs,article,
330351,2,25011,Michele Sevegnani,Senior Lecturer,2024,Modelling and analysing routing protocols diagrammatically with bigraphs,article,
330340,5,66347,Lauritz Thamsen,Lecturer in Computer Systems,2024,Sizey: Memory-Efficient Execution of Scientific Workflow Tasks,conference_proceedings,
330233,5,7010,Joemon Jose,Professor of Information Retrieval,2024,"Sparks of Surprise: Multi-Objective Recommendations with Hierarchical Decision Transformers for Diversity, Novelty, and Serendipity",conference_proceedings,
330107,5,65563,Paul Henderson,Lecturer in Machine Learning,2024,Understanding and Mitigating Human-Labelling Errors in Supervised Contrastive Learning,conference_proceedings,
330080,0,28436,Jessica Enright,Reader,2024,The complexity of finding and enumerating optimal subgraphs to represent spatial correlation,article,
330080,2,33044,Kitty Meeks,Reader,2024,The complexity of finding and enumerating optimal subgraphs to represent spatial correlation,article,
330084,0,72345,Yiannis Giannakopoulos,Senior Lecturer in Algorithms and Complexity,2024,Discrete Single-Parameter Optimal Auction Design,conference_proceedings,
329793,1,48568,Mathieu Chollet,Lecturer in Healthcare Technologies,2024,Investigating the Impact of Multimodal Feedback on User-Perceived Latency and Immersion with LLM-Powered Embodied Conversational Agents in Virtual Reality,conference_proceedings,A
329774,0,9704,Matthew Barr,Senior Lecturer,2024,Understanding the Role Models that Inspire Women to Study Computing Science,conference_proceedings,
327909,4,50574,Zaiqiao Meng,Lecturer,2024,BPP: a platform for automatic biochemical pathway prediction,article,
329748,2,5956,Gethin Norman,Senior Lecturer,2024,Strategy synthesis for zero-sum neuro-symbolic concurrent stochastic games,article,B
329749,2,2912,Alessandro Vinciarelli,Professor of Computational Social Intelligence,2024,Assessing Privacy Risks of Attribute Inference Attacks against Speech-based Depression Detection System,conference_proceedings,B
329749,3,64858,Tanaya Guha,Senior Lecturer,2024,Assessing Privacy Risks of Attribute Inference Attacks against Speech-based Depression Detection System,conference_proceedings,B
329746,3,64858,Tanaya Guha,Senior Lecturer,2024,WorkBench: A Benchmark Dataset for Agents in a Realistic Workplace Setting,conference_proceedings,A
329650,1,49593,Chee Kiat Seow,Associate Professor,2024,Enhancing student learning and engagement with object-oriented block-based programming tool,article,
329650,5,51762,Qi Cao,Associate Professor,2024,Enhancing student learning and engagement with object-oriented block-based programming tool,article,
